code,name,description,Source,Topic,Dataset,Unit of measure,Power code,periodicity,base_period,Derivation method,aggregation_method,Conceptual implications and limitations,Notes from original source,General comments,Reference period,Other data characteristics,geo_type
IC.IMP.DOCS,Documents to import (number),"Documents to import are all documents required per shipment by government ministries, customs authorities, port and container terminals, health and technical control agencies, and banks to import goods. Documents renewed annually and not requiring renewal per shipment are excluded.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Trade facilitation,,,,Annual,,,Unweighted average,,,,,,Country
IC.IMP.DURS,Time to import (days),"Time is recorded in calendar days. The time calculation for a procedure starts from the moment it is initiated and runs until it is completed. If a procedure can be accelerated for an additional cost, the fastest legal procedure is chosen. It is assumed that neither the exporter nor the importer wastes time and that each commits to completing each remaining procedure without delay. Procedures that can be completed in parallel are measured as simultaneous. The waiting time between proceduresfor example, during unloading of the cargois included in the measure.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Trade facilitation,,,,Annual,,,Unweighted average,,,,,,Country
IC.ISV.DURS,Time to resolve insolvency (years),Time to resolve insolvency is the number of years from the filing for insolvency in court until the resolution of distressed assets.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 10=strong),"Strength of legal rights index measures the degree to which collateral and bankruptcy laws protect the rights of borrowers and lenders and thus facilitate lending. The index ranges from 0 to 10, with higher scores indicating that these laws are better designed to expand access to credit.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.LGL.DURS,Time required to enforce a contract (days),"Time required to enforce a contract is the number of calendar days from the filing of the lawsuit in court until the final determination and, in appropriate cases, payment.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.LGL.PROC,Procedures to enforce a contract (number),"Number of procedures to enforce a contract are the number of independent actions, mandated by law or courts, that demand interaction between the parties of a contract or between them and the judge or court officer.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.PRP.DURS,Time required to register property (days),Time required to register property is the number of calendar days needed for businesses to secure rights to property.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.PRP.PROC,Procedures to register property (number),Number of procedures to register property is the number of procedures required for a businesses to secure rights to property.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.REG.COST.PC.ZS,Cost of business startup procedures (% of GNI per capita),Cost to register a business is normalized by presenting it as a percentage of gross national income (GNI) per capita.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.REG.DURS,Time required to start a business (days),"Time required to start a business is the number of calendar days needed to complete the procedures to legally operate a business. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.REG.PROC,Startup procedures to register a business (number),"Startup procedures are those required to start a business, including interactions to obtain necessary permits and licenses and to complete all inscriptions, verifications, and notifications to start operations. Data are for businesses with specific characteristics of ownership, size, and type of production.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.TAX.DURS,Time to prepare and pay taxes (hours),"Time to prepare and pay taxes is the time, in hours per year, it takes to prepare, file, and pay (or withhold) three major types of taxes: the corporate income tax, the value added or sales tax, and labor taxes, including payroll taxes and social security contributions.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms),"Firms expected to give gifts in meetings with tax officials is the percentage of firms that answered positively to the question ""was a gift or informal payment expected or requested during a meeting with tax officials?""","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Private Sector & Trade: Business environment,,,,Annual,,,,,,,,,Country
IC.TAX.LABR.CP.ZS,Labor tax and contributions (% of commercial profits),Labor tax and contributions is the amount of taxes and mandatory contributions on labor paid by the business.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.TAX.METG,Average number of times firms spent in meetings with tax officials,Average number of times management met with tax officials is the average number of visits or required meetings with tax officials.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Private Sector & Trade: Business environment,,,,Annual,,,,,,,,,Country
IC.TAX.OTHR.CP.ZS,Other taxes payable by businesses (% of commercial profits),"Other taxes payable by businesses include the amounts paid for property taxes, turnover taxes, and other small taxes such as municipal fees and vehicle and fuel taxes.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.TAX.PAYM,Tax payments (number),"Tax payments by businesses are the total number of taxes paid by businesses, including electronic filing. The tax is counted as paid once a year even if payments are more frequent.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.TAX.PRFT.CP.ZS,Profit tax (% of commercial profits),Profit tax is the amount of taxes on profits paid by the business.,"World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.TAX.TOTL.CP.ZS,Total tax rate (% of commercial profits),"Total tax rate measures the amount of taxes and mandatory contributions payable by businesses after accounting for allowable deductions and exemptions as a share of commercial profits. Taxes withheld (such as personal income tax) or collected and remitted to tax authorities (such as value added taxes, sales taxes or goods and service taxes) are excluded.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.WRH.DURS,Time required to build a warehouse (days),"Time required to build a warehouse is the number of calendar days needed to complete the required procedures for building a warehouse. If a procedure can be speeded up at additional cost, the fastest procedure, independent of cost, is chosen.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IC.WRH.PROC,Procedures to build a warehouse (number),"Number of procedures to build a warehouse is the number of interactions of a company's employees or managers with external parties, including government agency staff, public inspectors, notaries, land registry and cadastre staff, and technical experts apart from architects and engineers.","World Bank, Doing Business project (http://www.doingbusiness.org/).",Private Sector & Trade: Business environment,,,,Annual,,,Unweighted average,,,,,,Country
IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),"Investment in energy with private participation is the value of energy projects that have reached financial closure and directly or indirectly serve the public, including operation and management contracts with major capital expenditure, greenfield projects (in which a private entity or publicprivate joint venture builds and operates a new facility), and divestitures. Movable assets and small projects such as windmills are excluded.","World Bank, Private Participation in Infrastructure Project Database (http://ppi.worldbank.org).",Private Sector & Trade: Private infrastructure investment,,,,Annual,,,Sum,,,,,,Country
IE.PPI.TELE.CD,Investment in telecoms with private participation (current US$),"Investment in telecoms with private participation is the value of telecom projects that have reached financial closure and directly or indirectly serve the public, including operation and management contracts with major capital expenditure, greenfield projects (in which a private entity or publicprivate joint venture builds and operates a new facility), and divestitures. Movable assets and small projects are excluded.","World Bank, Private Participation in Infrastructure Project Database (http://ppi.worldbank.org).",Private Sector & Trade: Private infrastructure investment,,,,Annual,,,Sum,,,,,,Country
IE.PPI.TRAN.CD,Investment in transport with private participation (current US$),"Investment in transport with private participation is the value of transportation projects that have reached financial closure and directly or indirectly serve the public, including operation and management contracts with major capital expenditure, greenfield projects (in which a private entity or publicprivate joint venture builds and operates a new facility), and divestitures. Movable assets and small projects are excluded.","World Bank, Private Participation in Infrastructure Project Database (http://ppi.worldbank.org).",Private Sector & Trade: Private infrastructure investment,,,,Annual,,,Sum,,,,,,Country
IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$),"Investment in water and sanitation with private participation is the value of water and sanitation projects that have reached financial closure and directly or indirectly serve the public, including operation and management contracts with major capital expenditure, greenfield projects (in which a private entity or publicprivate joint venture builds and operates a new facility), and divestitures. Incinerators, movable assets, standalone solid waste projects, and small projects are excluded.","World Bank, Private Participation in Infrastructure Project Database (http://ppi.worldbank.org).",Private Sector & Trade: Private infrastructure investment,,,,Annual,,,Sum,,,,,,Country
IP.JRN.ARTC.SC,Scientific and technical journal articles,"Scientific and technical journal articles refer to the number of scientific and engineering articles published in the following fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences.","National Science Foundation, Science and Engineering Indicators.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.PAT.NRES,"Patent applications, nonresidents",Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.PAT.RESD,"Patent applications, residents",Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.TMK.AGGD,"Trademark applications, aggregate direct",Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property (IP) office. Aggregate direct trademark applications are those filed by applicants without regard to the residency of the applicant. This figure is used when the national office does not provide a breakdown by direct resident and direct nonresident applications.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.TMK.MDRD,"Trademark applications, Madrid",Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property (IP) office. Madrid trademark applications are those received by the national or regional IP office as a result of an international application filed via the WIPOadministered Madrid System.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.TMK.NRES,"Trademark applications, direct nonresident",Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property (IP) office. Direct nonresident trademark applications are those filed by applicants from abroad directly at a given national IP office.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.TMK.RESD,"Trademark applications, direct resident",Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property (IP) office. Direct resident trademark applications are those filed by domestic applicants directly at a given national IP office.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IP.TMK.TOTL,"Trademark applications, total",Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property (IP) office.,"World Intellectual Property Organization (WIPO), World Intellectual Property Indicators and www.wipo.int/econ_stat. The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data.",Infrastructure: Technology,,,,Annual,,,Sum,,,,,,Country
IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high),"Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high),Debt policy assesses whether the debt management strategy is conducive to minimizing budgetary risks and ensuring longterm debt sustainability.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high),"The economic management cluster includes macroeconomic management, fiscal policy, and debt policy.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Policy and institutions for environmental sustainability assess the extent to which environmental policies foster the protection and sustainable use of natural resources and the management of pollution.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high),"Quality of budgetary and financial management assesses the extent to which there is a comprehensive and credible budget linked to policy priorities, effective financial management systems, and timely and accurate accounting and fiscal reporting, including timely and audited public accounts.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high),Financial sector assesses the structure of the financial sector and the policies and regulations that affect it.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high),Fiscal policy assesses the short and mediumterm sustainability of fiscal policy (taking into account monetary and exchange rate policy and the sustainability of the public debt) and its impact on growth.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high),"Gender equality assesses the extent to which the country has installed institutions and programs to enforce laws and policies that promote equal access for men and women in education, health, the economy, and protection under law.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high),"Building human resources assesses the national policies and public and private sector service delivery that affect the access to and quality of health and education services, including prevention and treatment of HIV/AIDS, tuberculosis, and malaria.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high),IDA Resource Allocation Index is obtained by calculating the average score for each cluster and then by averaging those scores. For each of 16 criteria countries are rated on a scale of 1 (low) to 6 (high).,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high),"Macroeconomic management assesses the monetary, exchange rate, and aggregate demand policy framework.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high),Quality of public administration assesses the extent to which civilian central government staff is structured to design and implement government policy and deliver services effectively.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high),Equity of public resource use assesses the extent to which the pattern of public expenditures and revenue collection affects the poor and is consistent with national poverty reduction priorities.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.PROP.XQ,CPIA property rights and rulebased governance rating (1=low to 6=high),Property rights and rulebased governance assess the extent to which private economic activity is facilitated by an effective legal system and rulebased governance structure in which property and contract rights are reliably respected and enforced.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high),"Social protection and labor assess government policies in social protection and labor market regulations that reduce the risk of becoming poor, assist those who are poor to better manage further risks, and ensure a minimal level of welfare to all people.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high),"The public sector management and institutions cluster includes property rights and rulebased governance, quality of budgetary and financial management, efficiency of revenue mobilization, quality of public administration, and transparency, accountability, and corruption in the public sector.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high),"Efficiency of revenue mobilization assesses the overall pattern of revenue mobilizationnot only the de facto tax structure, but also revenue from all sources as actually collected.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),"The policies for social inclusion and equity cluster includes gender equality, equity of public resource use, building human resources, social protection and labor, and policies and institutions for environmental sustainability.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high),"The structural policies cluster includes trade, financial sector, and business regulatory environment.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high),Trade assesses how the policy framework fosters trade in goods.,"World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)","Transparency, accountability, and corruption in the public sector assess the extent to which the executive can be held accountable for its use of funds and for the results of its actions by the electorate and by the legislature and judiciary, and the extent to which public employees within the executive are required to account for administrative decisions, use of resources, and results obtained. The three main dimensions assessed here are the accountability of the executive to oversight institutions and of public employees for their performance, access of civil society to information on public affairs, and state capture by narrow vested interests.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",Public Sector: Policy & institutions,,,,Annual,,,,,,,,,Country
IQ.WEF.CUST.XQ,"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)","Burden of Customs Procedure measures business executives' perceptions of their country's efficiency of customs procedures. The rating ranges from 1 to 7, with a higher score indicating greater efficiency.","World Economic Forum, Global Competiveness Report and data files.",Infrastructure: Transportation,,,,Annual,,,Unweighted average,,,,,,Country
IQ.WEF.PORT.XQ,"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)","Quality of Port Infrastructure measures business executives' perceptions of their country's port facilities. The rating ranges from 1 to 7, with a higher score indicating better development of port infrastructure.","World Economic Forum, Global Competiveness Report.",Infrastructure: Transportation,,,,Annual,,,Unweighted average,,,,,,Country
IS.AIR.DPRT,"Air transport, registered carrier departures worldwide",Registered carrier departures worldwide are domestic takeoffs and takeoffs abroad of air carriers registered in the country.,"International Civil Aviation Organization, Civil Aviation Statistics of the World and ICAO staff estimates.",Infrastructure: Transportation,,,,Annual,,,Sum,,,,,,Country
IS.AIR.GOOD.MT.K1,"Air transport, freight (million tonkm)","Air freight is the volume of freight, express, and diplomatic bags carried on each flight stage (operation of an aircraft from takeoff to its next landing), measured in metric tons times kilometers traveled.","International Civil Aviation Organization, Civil Aviation Statistics of the World and ICAO staff estimates.",Infrastructure: Transportation,,,,Annual,,,Sum,,,,,,Country
IS.AIR.PSGR,"Air transport, passengers carried",Air passengers carried include both domestic and international aircraft passengers of air carriers registered in the country.,"International Civil Aviation Organization, Civil Aviation Statistics of the World and ICAO staff estimates.",Infrastructure: Transportation,,,,Annual,,,Sum,,,,,,Country
IS.ROD.DESL.KT,Road sector diesel fuel consumption (kt of oil equivalent),Diesel is heavy oils used as a fuel for internal combustion in diesel engines.,"International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,,,,,,,Country
IS.ROD.DESL.PC,Road sector diesel fuel consumption per capita (kg of oil equivalent),Diesel is heavy oils used as a fuel for internal combustion in diesel engines.,"International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.ROD.DNST.K2,Road density (km of road per 100 sq. km of land area),"Road density is the ratio of the length of the country's total road network to the country's land area. The road network includes all roads in the country: motorways, highways, main or national roads, secondary or regional roads, and other urban and rural roads.","International Road Federation, World Road Statistics and electronic files, except where noted.",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.ROD.ENGY.KT,Road sector energy consumption (kt of oil equivalent),"Road sector energy consumption is the total energy used in the road sector including petroleum products, natural gas, electricity, and combustible renewable and waste.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,,,,,,,Country
IS.ROD.ENGY.PC,Road sector energy consumption per capita (kg of oil equivalent),"Road sector energy consumption is the total energy used in the road sector including petroleum products, natural gas, electricity, and combustible renewable and waste.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.ROD.ENGY.ZS,Road sector energy consumption (% of total energy consumption),"Road sector energy consumption is the total energy used in the road sector including petroleum products, natural gas, electricity, and combustible renewable and waste. Total energy consumption is the total country energy consumption.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.ROD.GOOD.MT.K6,"Roads, goods transported (million tonkm)","Goods transported by road are the volume of goods transported by road vehicles, measured in millions of metric tons times kilometers traveled.","International Road Federation, World Road Statistics and electronic files, except where noted.",Infrastructure: Transportation,,,,Annual,,,Median,,,,,,Country
IS.ROD.PAVE.ZS,"Roads, paved (% of total roads)","Paved roads are those surfaced with crushed stone (macadam) and hydrocarbon binder or bituminized agents, with concrete, or with cobblestones, as a percentage of all the country's roads, measured in length.","International Road Federation, World Road Statistics and electronic files, except where noted.",Infrastructure: Transportation,,,,Annual,,,Median,,,,,,Country
IS.ROD.PSGR.K6,"Roads, passengers carried (million passengerkm)",Passengers carried by road are the number of passengers transported by road times kilometers traveled.,"International Road Federation, World Road Statistics and electronic files, except where noted.",Infrastructure: Transportation,,,,Annual,,,Median,,,,,,Country
IS.ROD.SGAS.KT,Road sector gasoline fuel consumption (kt of oil equivalent),"Gasoline is light hydrocarbon oil use in internal combustion engine such as motor vehicles, excluding aircraft.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,,,,,,,Country
IS.ROD.SGAS.PC,Road sector gasoline fuel consumption per capita (kg of oil equivalent),"Gasoline is light hydrocarbon oil use in internal combustion engine such as motor vehicles, excluding aircraft.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics (c) OECD/IEA, http://www.iea.org/stats/index.asp).",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.ROD.TOTL.KM,"Roads, total network (km)","Total road network includes motorways, highways, and main or national roads, secondary or regional roads, and all other roads in a country.","International Road Federation, World Road Statistics and electronic files, except where noted.",Infrastructure: Transportation,,,,Annual,,,,,,,,,Country
IS.RRS.GOOD.MT.K6,"Railways, goods transported (million tonkm)","Goods transported by railway are the volume of goods transported by railway, measured in metric tons times kilometers traveled.","World Bank, Transportation, Water, and Information and Communications Technologies Department, Transport Division.",Infrastructure: Transportation,,,,Annual,,,Median,,,,,,Country
IS.RRS.PASG.KM,"Railways, passengers carried (million passengerkm)",Passengers carried by railway are the number of passengers transported by rail times kilometers traveled.,"World Bank, Transportation, Water, and Information and Communications Technologies Department, Transport Division.",Infrastructure: Transportation,,,,Annual,,,Median,,,,,,Country
IS.RRS.TOTL.KM,Rail lines (total routekm),"Rail lines are the length of railway route available for train service, irrespective of the number of parallel tracks.","World Bank, Transportation, Water, and Information and Communications Technologies Department, Transport Division.",Infrastructure: Transportation,,,,Annual,,,Sum,,,,,,Country
IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100),"Liner Shipping Connectivity Index score indicates how well countries are connected to global shipping networks
based on the status of their maritime transport sector. The highest value in 2004 is 100.","United Nations Conference on Trade and Development, Review of Maritime Transport 2010.",Infrastructure: Transportation,,,,Annual,,,,,,,,,Country
IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units),"Port container traffic measures the flow of containers from land to sea transport modes., and vice versa, in twentyfoot equivalent units (TEUs), a standardsize container. Data refer to coastal shipping as well as international journeys. Transshipment traffic is counted as two lifts at the intermediate port (once to offload and again as an outbound lift) and includes empty units.","Containerisation International, Containerisation International Yearbook.",Infrastructure: Transportation,,,,Annual,,,Sum,,,,,,Country
IS.VEH.NVEH.P3,"Motor vehicles (per 1,000 people)","Motor vehicles include cars, buses, and freight vehicles but do not include twowheelers. Population refers to midyear population in the year for which data are available.","International Road Federation, World Road Statistics and data files.",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.VEH.PCAR.P3,"Passenger cars (per 1,000 people)","Passenger cars refer to road motor vehicles, other than twowheelers, intended for the carriage of passengers and designed to seat no more than nine people (including the driver).","International Road Federation, World Road Statistics and data files.",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IS.VEH.ROAD.K1,Vehicles (per km of road),"Vehicles per kilometer of road include cars, buses, and freight vehicles but do not include twowheelers. Roads refer to motorways, highways, main or national roads, secondary or regional roads, and other roads. A motorway is a road specially designed and built for motor traffic that separates the traffic flowing in opposite directions.","International Road Federation, World Road Statistics and data files.",Infrastructure: Transportation,,,,Annual,,,Weighted average,,,,,,Country
IT.CEL.SETS,Mobile cellular subscriptions,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Postpaid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",Infrastructure: Communications,,,,Annual,,,Sum,,,Please cite the International Telecommunication Union for thirdparty use of these data.,,,Country
IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Postpaid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",Infrastructure: Communications,,,,Annual,,,Weighted average,,,Please cite the International Telecommunication Union for thirdparty use of these data.,,,Country
IT.MLT.MAIN,Telephone lines,Telephone lines are fixed telephone lines that connect a subscriber's terminal equipment to the public switched telephone network and that have a port on a telephone exchange. Integrated services digital network channels ands fixed wireless subscribers are included.,"International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",Infrastructure: Communications,,,,Annual,,,Sum,,,Please cite the International Telecommunication Union for thirdparty use of these data.,,,Country
